"cf_if","first_name","last_name","email","company_name","description","goal","pledged","outcome","backers_count","country","currency","launch_date","end_date","category","subcategory"
805,"Flavia","Yoder","flavia.yoder@hotmail.de","Carney-Anderson","Digitized 5thgeneration knowledgebase","1000.0","4257.0","successful",43,"US","USD","1970-01-01","1970-01-01","music","rock"
2159,"Elizabeth","Valdivia","elizabeth.valdivia@gmail.com","Sullivan Group","Open-source fresh-thinking policy","1400.0","14324.0","successful",165,"US","USD","1970-01-01","1970-01-01","music","rock"
894,"Herbert","Fraser","herbert.fraser@holloway.org.au","Fox-Quinn","Enterprise-wide reciprocal success","67800.0","176398.0","successful",5880,"US","USD","1970-01-01","1970-01-01","music","rock"
1760,"Allegra","Benedetti","allegra.benedetti@miller.com","Gallegos-Cobb","Object-based directional function","39500.0","4323.0","failed",57,"AU","AUD","1970-01-01","1970-01-01","music","rock"
1955,"Olivie","Contarini","olivie.contarini@marshall-wright.biz","Hill, Martin and Garcia","Sharable scalable core","8400.0","10729.0","successful",250,"US","USD","1970-01-01","1970-01-01","music","rock"
2635,"Roy","Fox","roy.fox@tejeda.com","Robbins and Sons","Future-proofed directional synergy","100.0","3.0","failed",1,"US","USD","1970-01-01","1970-01-01","music","rock"
614,"Pellegrino","Allen","pellegrino.allen@gmail.com","Rosales, Branch and Harmon","Upgradable grid-enabled superstructure","80500.0","96735.0","successful",1697,"US","USD","1970-01-01","1970-01-01","music","rock"
1792,"Angela","Bowers","angela.bowers@laboratorios.com","Smith-Reid","Optimized actuating toolset","4100.0","959.0","failed",15,"GB","GBP","1970-01-01","1970-01-01","music","rock"
1204,"Ivan","Accardo","ivan.accardo@web.de","Allen-Jones","Centralized modular initiative","6300.0","9935.0","successful",261,"US","USD","1970-01-01","1970-01-01","music","rock"
669,"Karen","Avogadro","karen.avogadro@yahoo.com","Mason-Smith","Reverse-engineered cohesive migration","84300.0","26303.0","failed",454,"US","USD","1970-01-01","1970-01-01","music","rock"
2741,"Patricia","Liebelt","patricia.liebelt@baca.org","Lucas-Mullins","Business-focused dynamic instruction set","8100.0","1517.0","failed",29,"DK","DKK","1970-01-01","1970-01-01","music","rock"
641,"Mirjam","Dawson","mirjam.dawson@yahoo.com","Chase, Garcia and Johnson","Adaptive intangible database","3500.0","5037.0","successful",72,"US","USD","1970-01-01","1970-01-01","music","rock"
336,"Benito","Gritti","benito.gritti@gmail.com","Miller-Irwin","Secured maximized policy","2200.0","8697.0","successful",223,"US","USD","1970-01-01","1970-01-01","music","rock"
341,"Mohammad","Hartung","mohammad.hartung@hotmail.com","Young, Hart and Ryan","Decentralized demand-driven open system","5700.0","903.0","failed",17,"US","USD","1970-01-01","1970-01-01","music","rock"
3004,"Konrad","Briones","konrad.briones@fierro.com","Young PLC","Innovative well-modulated functionalities","98700.0","131826.0","successful",2441,"US","USD","1970-01-01","1970-01-01","music","rock"
1194,"Joanne","Henderson","joanne.henderson@gmail.com","Mcgee Group","Assimilated discrete algorithm","66200.0","123538.0","successful",1113,"US","USD","1970-01-01","1970-01-01","music","rock"
3176,"Ludovica","Arellano","ludovica.arellano@morandi-argento.com","Jordan-Acosta","Operative uniform hub","173800.0","198628.0","successful",2283,"US","USD","1970-01-01","1970-01-01","music","rock"
642,"Catherine","Gray","catherine.gray@hotmail.com","Nunez Inc","Customizable intangible capability","70700.0","68602.0","failed",1072,"US","USD","1970-01-01","1970-01-01","music","rock"
2005,"Rachel","Ulibarri","rachel.ulibarri@schueler.com","Young LLC","Universal maximized methodology","74100.0","94631.0","successful",2013,"US","USD","1970-01-01","1970-01-01","music","rock"
2612,"Walli","Albert","walli.albert@dussen.com","Lawrence Group","Automated actuating conglomeration","3700.0","13755.0","successful",191,"US","USD","1970-01-01","1970-01-01","music","rock"
807,"Siegrun","Mota","siegrun.mota@matthews-montoya.org.au","Gray-Davis","Re-contextualized local initiative","5200.0","8330.0","successful",139,"US","USD","1970-01-01","1970-01-01","music","rock"
2889,"Francis","Bernier","francis.bernier@rodriguez.com","Perry PLC","Mandatory uniform matrix","3400.0","12275.0","successful",131,"US","USD","1970-01-01","1970-01-01","music","rock"
2592,"Veronica","Trapp","veronica.trapp@tiscali.it","Jones-Martin","Virtual systematic monitoring","8100.0","14083.0","successful",454,"US","USD","1970-01-01","1970-01-01","music","rock"
1237,"Geraldine","Cabrera","geraldine.cabrera@green-smith.info","Stewart LLC","Secured asymmetric projection","135600.0","62804.0","failed",714,"US","USD","1970-01-01","1970-01-01","music","rock"
305,"Annalisa","Pugh","annalisa.pugh@hotmail.fr","Padilla-Porter","Innovative exuding matrix","148400.0","182302.0","successful",6286,"US","USD","1970-01-01","1970-01-01","music","rock"
2090,"Hanno","Gollum","hanno.gollum@smith.com","Turner, Young and Collins","Self-enabling clear-thinking framework","153800.0","60342.0","failed",575,"US","USD","1970-01-01","1970-01-01","music","rock"
3136,"Ron","Cavazos","ron.cavazos@yahoo.com","Smith-Miller","De-engineered cohesive moderator","7500.0","6924.0","failed",62,"IT","EUR","1970-01-01","1970-01-01","music","rock"
1883,"Alfonso","Finetti","alfonso.finetti@quiroz.com","Sanchez, Bradley and Flores","Centralized motivating capacity","138700.0","31123.0","canceled",528,"CH","CHF","1970-01-01","1970-01-01","music","rock"
1898,"Genaro","Briand","genaro.briand@sfr.fr","Marsh-Coleman","Exclusive asymmetric analyzer","177700.0","180802.0","successful",1773,"US","USD","1970-01-01","1970-01-01","music","rock"
1859,"Leone","Richardson","leone.richardson@yahoo.com","Taylor Inc","Public-key 3rdgeneration system engine","2800.0","7742.0","successful",84,"US","USD","1970-01-01","1970-01-01","music","rock"
2215,"Geronimo","Pechel","geronimo.pechel@hotmail.com","Dougherty, Austin and Mills","De-engineered 5thgeneration contingency","170600.0","75022.0","failed",1028,"US","USD","1970-01-01","1970-01-01","music","rock"
2470,"Katherine","Cooley","katherine.cooley@yahoo.com","Anderson Group","Organic maximized database","6300.0","14089.0","successful",135,"DK","DKK","1970-01-01","1970-01-01","music","rock"
2918,"Alexandria","Best","alexandria.best@yahoo.co.uk","Blair Inc","Configurable bandwidth-monitored throughput","9900.0","1269.0","failed",26,"CH","CHF","1970-01-01","1970-01-01","music","rock"
304,"Magarete","Valentin","magarete.valentin@yahoo.com","Johns PLC","Distributed high-level open architecture","6800.0","14865.0","successful",244,"US","USD","1970-01-01","1970-01-01","music","rock"
1654,"Thibaut","Camarillo","thibaut.camarillo@hotmail.com","Martinez-Juarez","Realigned uniform knowledge user","31200.0","95364.0","successful",2725,"US","USD","1970-01-01","1970-01-01","music","rock"
913,"Thibault","Savorgnan","thibault.savorgnan@butler.biz","Clements Group","Assimilated actuating policy","9000.0","4896.0","canceled",94,"US","USD","1970-01-01","1970-01-01","music","rock"
3145,"Rouven","Ovadia","rouven.ovadia@gmail.com","Rowe-Wong","Robust hybrid budgetary management","700.0","6654.0","successful",130,"US","USD","1970-01-01","1970-01-01","music","rock"
653,"Marta","Huynh","marta.huynh@hernandez.info","Martinez, Garza and Young","Up-sized web-enabled info-mediaries","108500.0","175868.0","successful",2409,"IT","EUR","1970-01-01","1970-01-01","music","rock"
1758,"Rosario","Jacques","rosario.jacques@yahoo.com","Valencia PLC","Extended asynchronous initiative","3400.0","6405.0","successful",160,"GB","GBP","1970-01-01","1970-01-01","music","rock"
507,"Giustino","Luzi","giustino.luzi@rolland.fr","Ferguson, Murphy and Bright","Multi-lateral heuristic throughput","192100.0","178483.0","failed",4697,"US","USD","1970-01-01","1970-01-01","music","rock"
1016,"Raisa","Poulain","raisa.poulain@fastwebnet.it","Howell, Myers and Olson","Self-enabling mission-critical success","52600.0","31594.0","canceled",390,"US","USD","1970-01-01","1970-01-01","music","rock"
3182,"Anna","Freeman","anna.freeman@snyder.net","Murray Ltd","Decentralized 4thgeneration challenge","6000.0","5438.0","failed",77,"GB","GBP","1970-01-01","1970-01-01","music","rock"
2205,"Andrey","Faure","andrey.faure@frederick-mitchell.info","Cardenas, Thompson and Carey","Configurable full-range emulation","9200.0","12322.0","successful",196,"IT","EUR","1970-01-01","1970-01-01","music","rock"
2285,"Kristy","Bartlett","kristy.bartlett@outlook.com","Evans-Jones","Switchable methodical superstructure","38500.0","182036.0","successful",1785,"US","USD","1970-01-01","1970-01-01","music","rock"
1780,"Volkmar","Gauthier","volkmar.gauthier@hotmail.com","Dominguez-Owens","Open-architected systematic intranet","123600.0","5429.0","canceled",60,"US","USD","1970-01-01","1970-01-01","music","rock"
1069,"Jorge","Monti","jorge.monti@clement.fr","Glass, Baker and Jones","Business-focused 24hour access","117000.0","107622.0","failed",1121,"US","USD","1970-01-01","1970-01-01","music","rock"
2505,"Kata","Mena","kata.mena@gmail.com","Logan-Miranda","Proactive systemic firmware","29600.0","167005.0","successful",1518,"CA","CAD","1970-01-01","1970-01-01","music","rock"
2782,"Giuliano","Bolzmann","giuliano.bolzmann@pacillo.it","Mitchell-Lee","Customizable leadingedge model","2200.0","14420.0","successful",166,"US","USD","1970-01-01","1970-01-01","music","rock"
2464,"Holly","Negrete","holly.negrete@hotmail.com","Shaffer-Mason","Managed bandwidth-monitored system engine","1100.0","8010.0","successful",148,"US","USD","1970-01-01","1970-01-01","music","rock"
864,"Sonja","Patberg","sonja.patberg@hotmail.com","Murphy LLC","Customer-focused non-volatile framework","9400.0","968.0","failed",10,"US","USD","1970-01-01","1970-01-01","music","rock"
988,"Bekir","Normand","bekir.normand@yahoo.de","Vega, Chan and Carney","Down-sized systematic utilization","7400.0","10451.0","successful",138,"US","USD","1970-01-01","1970-01-01","music","rock"
1707,"Shelly","Guichard","shelly.guichard@gmail.com","Vance-Glover","Progressive coherent secured line","61200.0","60994.0","failed",859,"CA","CAD","1970-01-01","1970-01-01","music","rock"
415,"Cristal","Mazzini","cristal.mazzini@gmail.com","Welch Inc","Optional optimal website","6600.0","8276.0","successful",110,"US","USD","1970-01-01","1970-01-01","music","rock"
751,"Brigitta","Shaw","brigitta.shaw@hotmail.co.uk","Wallace LLC","Centralized regional function","100.0","1.0","failed",1,"CH","CHF","1970-01-01","1970-01-01","music","rock"
1698,"Romina","Valentine","romina.valentine@hotmail.com","English-Mccullough","Business-focused discrete software","2600.0","6987.0","successful",218,"US","USD","1970-01-01","1970-01-01","music","rock"
2139,"Maximilian","Siering","maximilian.siering@gaito-fornaciari.org","Vincent PLC","Visionary 24hour analyzer","3200.0","2950.0","failed",36,"DK","DKK","1970-01-01","1970-01-01","music","rock"
2442,"Ermenegildo","Holzapfel","ermenegildo.holzapfel@aol.de","Watson-Douglas","Centralized bandwidth-monitored leverage","9000.0","11721.0","successful",183,"CA","CAD","1970-01-01","1970-01-01","music","rock"
198,"Ariana","Houston","ariana.houston@hotmail.it","Valdez, Williams and Meyer","Cross-group heuristic forecast","1500.0","12009.0","successful",279,"GB","GBP","1970-01-01","1970-01-01","music","rock"
2136,"Henriette","Lang","henriette.lang@mimun.it","Stewart and Sons","Distributed optimizing protocol","54000.0","188982.0","successful",2100,"US","USD","1970-01-01","1970-01-01","music","rock"
3200,"Wilfriede","Baca","wilfriede.baca@caraballo.com","Dyer Inc","Secured well-modulated system engine","4100.0","14640.0","successful",252,"US","USD","1970-01-01","1970-01-01","music","rock"
1719,"Uberto","Steele","uberto.steele@outlook.com","Hood, Perez and Meadows","Cross-group upward-trending hierarchy","100.0","1.0","failed",1,"US","USD","1970-01-01","1970-01-01","music","rock"
1372,"Corrado","Warren","corrado.warren@hotmail.com.au","Mueller-Harmon","Implemented tangible approach","7900.0","5465.0","failed",67,"US","USD","1970-01-01","1970-01-01","music","rock"
1226,"Michela","Pruvost","michela.pruvost@holt.co.uk","Hogan Group","Versatile bottom-line definition","5600.0","8746.0","successful",159,"US","USD","1970-01-01","1970-01-01","music","rock"
289,"Kristi","Grant","kristi.grant@yahoo.co.uk","Mora, Miller and Harper","Stand-alone zero tolerance algorithm","2300.0","4883.0","successful",144,"US","USD","1970-01-01","1970-01-01","music","rock"
3165,"Ugo","Harrison","ugo.harrison@morley-chapman.co.uk","Peterson Ltd","Re-engineered 24hour matrix","14500.0","159056.0","successful",1559,"US","USD","1970-01-01","1970-01-01","music","rock"
2925,"Ehrentraud","Puga","ehrentraud.puga@laboratorios.com","Nunez-King","Phased clear-thinking policy","2200.0","8501.0","successful",207,"GB","GBP","1970-01-01","1970-01-01","music","rock"
2247,"Mason","Potter","mason.potter@gmail.com","Logan-Curtis","Enhanced optimal ability","170600.0","114523.0","failed",4405,"US","USD","1970-01-01","1970-01-01","music","rock"
2408,"Aaron","Anaya","aaron.anaya@hotmail.com.au","Chan, Washington and Callahan","Optional zero administration neural-net","7800.0","3144.0","failed",92,"US","USD","1970-01-01","1970-01-01","music","rock"
2632,"Bettina","Norbiato","bettina.norbiato@allen-lutz.org","Ramirez LLC","Reduced reciprocal focus group","9800.0","11091.0","successful",241,"US","USD","1970-01-01","1970-01-01","music","rock"
970,"Danielle","Ladeck","danielle.ladeck@scalfaro.net","Rangel, Holt and Jones","Open-source fresh-thinking model","6200.0","3208.0","failed",44,"US","USD","1970-01-01","1970-01-01","music","electric music"
1239,"Christopher","Poirier","christopher.poirier@hotmail.com","Fitzgerald PLC","Realigned user-facing concept","106400.0","39996.0","failed",1000,"US","USD","1970-01-01","1970-01-01","music","electric music"
253,"Sally","Raya","sally.raya@tarchetti.it","Douglas LLC","Reduced heuristic moratorium","900.0","9193.0","successful",164,"US","USD","1970-01-01","1970-01-01","music","electric music"
393,"Nathalie","Alvarez","nathalie.alvarez@live.com","Frye, Hunt and Powell","Polarized incremental emulation","10000.0","2461.0","failed",37,"IT","EUR","1970-01-01","1970-01-01","music","electric music"
1090,"Irmi","Schweitzer","irmi.schweitzer@ozuna.com","Parker LLC","Customizable intermediate extranet","137200.0","88037.0","failed",1467,"US","USD","1970-01-01","1970-01-01","music","electric music"
2536,"Gino","Hernandez","gino.hernandez@covarrubias.com","Smith and Sons","Upgradable high-level solution","15800.0","57157.0","successful",524,"US","USD","1970-01-01","1970-01-01","music","electric music"
3039,"Dana","Ritacca","dana.ritacca@gmail.com","Palmer Inc","Universal multi-state capability","63200.0","6041.0","failed",168,"US","USD","1970-01-01","1970-01-01","music","electric music"
2685,"Jamie","Peacock","jamie.peacock@interiano-nordio.com","Ferguson PLC","Public-key intangible superstructure","6300.0","13213.0","successful",176,"US","USD","1970-01-01","1970-01-01","music","electric music"
1401,"Jutta","Burke","jutta.burke@elliott.com","Richardson Inc","Assimilated fault-tolerant capacity","5000.0","8907.0","successful",106,"US","USD","1970-01-01","1970-01-01","music","electric music"
810,"Laure","Traetta","laure.traetta@kay-perkins.co.uk","Webb-Smith","Advanced content-based installation","9300.0","4124.0","failed",37,"US","USD","1970-01-01","1970-01-01","music","electric music"
179,"Lando","Gutierrez","lando.gutierrez@heser.com","Wang, Nguyen and Horton","Innovative holistic hub","6200.0","8645.0","successful",192,"US","USD","1970-01-01","1970-01-01","music","electric music"
1659,"Cindy","Castillo","cindy.castillo@virgilio.it","Fox-Williams","Profound system-worthy functionalities","128900.0","196960.0","successful",7295,"US","USD","1970-01-01","1970-01-01","music","electric music"
2182,"Gloria","Morton","gloria.morton@outlook.com","West-Stevens","Reactive solution-oriented groupware","1200.0","13513.0","successful",122,"US","USD","1970-01-01","1970-01-01","music","electric music"
985,"Israel","Watkins","israel.watkins@hotmail.com","Ramos and Sons","Extended responsive Internet solution","100.0","1.0","failed",1,"GB","GBP","1970-01-01","1970-01-01","music","electric music"
1519,"Gianfranco","Hethur","gianfranco.hethur@stewart-lee.com.au","Rodriguez PLC","Grass-roots upward-trending installation","167500.0","114615.0","failed",1274,"US","USD","1970-01-01","1970-01-01","music","electric music"
2004,"Annie","Hunter","annie.hunter@allen.co.uk","Bright and Sons","Object-based needs-based info-mediaries","6000.0","12468.0","successful",160,"US","USD","1970-01-01","1970-01-01","music","electric music"
